"Variety","Regimem","Day","Night","Fertilizer","Flowers"
"2","5",14,20,"1",12
"2","5",14,20,"1",8
"2","5",14,20,"1",8
"2","5",14,20,"1",6
"2","5",14,20,"1",7
"2","5",14,20,"1",12
"2","5",14,20,"1",10
"2","5",14,20,"1",7
"2","5",14,20,"1",6
"2","5",14,20,"1",8
"1","5",14,20,"1",8
"1","5",14,20,"1",12
"1","5",14,20,"1",8
"1","5",14,20,"1",11
"1","5",14,20,"1",7
"1","5",14,20,"1",9
"1","5",14,20,"1",7
"1","5",14,20,"1",7
"1","5",14,20,"1",10
"1","5",14,20,"1",10
"2","5",14,20,"4",6
"2","5",14,20,"4",8
"2","5",14,20,"4",7
"2","5",14,20,"4",9
"2","5",14,20,"4",6
"2","5",14,20,"4",10
"2","5",14,20,"4",7
"2","5",14,20,"4",7
"2","5",14,20,"4",8
"2","5",14,20,"4",9
"1","5",14,20,"2",9
"1","5",14,20,"2",12
"1","5",14,20,"2",8
"1","5",14,20,"2",7
"1","5",14,20,"2",10
"1","5",14,20,"2",10
"1","5",14,20,"2",8
"1","5",14,20,"2",8
"1","5",14,20,"2",6
"1","5",14,20,"2",10
"1","5",14,20,"4",12
"1","5",14,20,"4",9
"1","5",14,20,"4",8
"1","5",14,20,"4",7
"1","5",14,20,"4",9
"1","5",14,20,"4",12
"1","5",14,20,"4",11
"1","5",14,20,"4",9
"1","5",14,20,"4",9
"1","5",14,20,"4",7
"2","5",14,20,"2",11
"2","5",14,20,"2",8
"2","5",14,20,"2",11
"2","5",14,20,"2",8
"2","5",14,20,"2",9
"2","5",14,20,"2",5
"2","5",14,20,"2",9
"2","5",14,20,"2",12
"2","5",14,20,"2",5
"2","5",14,20,"2",7
"2","5",14,20,"3",10
"2","5",14,20,"3",8
"2","5",14,20,"3",10
"2","5",14,20,"3",13
"2","5",14,20,"3",5
"2","5",14,20,"3",12
"2","5",14,20,"3",8
"2","5",14,20,"3",8
"2","5",14,20,"3",9
"2","5",14,20,"3",9
"1","5",14,20,"3",10
"1","5",14,20,"3",6
"1","5",14,20,"3",10
"1","5",14,20,"3",7
"1","5",14,20,"3",10
"1","5",14,20,"3",7
"1","5",14,20,"3",8
"1","5",14,20,"3",7
"1","5",14,20,"3",10
"1","5",14,20,"3",9
"3","5",14,20,"4",6
"3","5",14,20,"4",7
"3","5",14,20,"4",4
"3","5",14,20,"4",10
"3","5",14,20,"4",8
"3","5",14,20,"4",8
"3","5",14,20,"4",9
"3","5",14,20,"4",7
"3","5",14,20,"4",11
"3","5",14,20,"4",8
"4","5",14,20,"4",7
"4","5",14,20,"4",8
"4","5",14,20,"4",12
"4","5",14,20,"4",6
"4","5",14,20,"4",9
"4","5",14,20,"4",9
"4","5",14,20,"4",6
"4","5",14,20,"4",8
"4","5",14,20,"4",15
"4","5",14,20,"4",8
"4","5",14,20,"2",8
"4","5",14,20,"2",9
"4","5",14,20,"2",8
"4","5",14,20,"2",9
"4","5",14,20,"2",7
"4","5",14,20,"2",5
"4","5",14,20,"2",9
"4","5",14,20,"2",7
"4","5",14,20,"2",7
"4","5",14,20,"2",7
"3","5",14,20,"3",4
"3","5",14,20,"3",10
"3","5",14,20,"3",11
"3","5",14,20,"3",7
"3","5",14,20,"3",7
"3","5",14,20,"3",13
"3","5",14,20,"3",10
"3","5",14,20,"3",11
"3","5",14,20,"3",6
"3","5",14,20,"3",5
"4","5",14,20,"3",10
"4","5",14,20,"3",6
"4","5",14,20,"3",8
"4","5",14,20,"3",10
"4","5",14,20,"3",15
"4","5",14,20,"3",11
"4","5",14,20,"3",10
"4","5",14,20,"3",9
"4","5",14,20,"3",11
"4","5",14,20,"3",6
"3","5",14,20,"2",11
"3","5",14,20,"2",7
"3","5",14,20,"2",6
"3","5",14,20,"2",9
"3","5",14,20,"2",9
"3","5",14,20,"2",10
"3","5",14,20,"2",11
"3","5",14,20,"2",12
"3","5",14,20,"2",12
"3","5",14,20,"2",8
"4","5",14,20,"1",10
"4","5",14,20,"1",6
"4","5",14,20,"1",12
"4","5",14,20,"1",6
"4","5",14,20,"1",9
"4","5",14,20,"1",11
"4","5",14,20,"1",13
"4","5",14,20,"1",8
"4","5",14,20,"1",10
"4","5",14,20,"1",7
"3","5",14,20,"1",8
"3","5",14,20,"1",11
"3","5",14,20,"1",16
"3","5",14,20,"1",6
"3","5",14,20,"1",9
"3","5",14,20,"1",8
"3","5",14,20,"1",8
"3","5",14,20,"1",13
"3","5",14,20,"1",9
"3","5",14,20,"1",10
"1","5",14,20,"4",6
"1","5",14,20,"4",7
"1","5",14,20,"4",13
"1","5",14,20,"4",11
"1","5",14,20,"4",8
"1","5",14,20,"4",12
"1","5",14,20,"4",11
"1","5",14,20,"4",9
"1","5",14,20,"4",12
"1","5",14,20,"4",8
"1","5",14,20,"2",7
"1","5",14,20,"2",11
"1","5",14,20,"2",9
"1","5",14,20,"2",10
"1","5",14,20,"2",9
"1","5",14,20,"2",8
"1","5",14,20,"2",7
"1","5",14,20,"2",6
"1","5",14,20,"2",11
"1","5",14,20,"2",10
"2","5",14,20,"4",7
"2","5",14,20,"4",8
"2","5",14,20,"4",7
"2","5",14,20,"4",9
"2","5",14,20,"4",8
"2","5",14,20,"4",8
"2","5",14,20,"4",11
"2","5",14,20,"4",7
"2","5",14,20,"4",7
"2","5",14,20,"4",11
"2","5",14,20,"3",6
"2","5",14,20,"3",10
"2","5",14,20,"3",10
"2","5",14,20,"3",8
"2","5",14,20,"3",8
"2","5",14,20,"3",10
"2","5",14,20,"3",6
"2","5",14,20,"3",7
"2","5",14,20,"3",7
"2","5",14,20,"3",7
"1","5",14,20,"3",8
"1","5",14,20,"3",10
"1","5",14,20,"3",12
"1","5",14,20,"3",6
"1","5",14,20,"3",10
"1","5",14,20,"3",9
"1","5",14,20,"3",9
"1","5",14,20,"3",11
"1","5",14,20,"3",7
"1","5",14,20,"3",10
"2","5",14,20,"2",11
"2","5",14,20,"2",7
"2","5",14,20,"2",8
"2","5",14,20,"2",13
"2","5",14,20,"2",13
"2","5",14,20,"2",12
"2","5",14,20,"2",12
"2","5",14,20,"2",9
"2","5",14,20,"2",6
"2","5",14,20,"2",9
"4","5",14,20,"1",13
"4","5",14,20,"1",7
"4","5",14,20,"1",6
"4","5",14,20,"1",5
"4","5",14,20,"1",12
"4","5",14,20,"1",7
"4","5",14,20,"1",12
"4","5",14,20,"1",8
"4","5",14,20,"1",13
"4","5",14,20,"1",7
"3","5",14,20,"1",9
"3","5",14,20,"1",5
"3","5",14,20,"1",10
"3","5",14,20,"1",14
"3","5",14,20,"1",9
"3","5",14,20,"1",8
"3","5",14,20,"1",5
"3","5",14,20,"1",8
"3","5",14,20,"1",7
"3","5",14,20,"1",10
"3","5",14,20,"4",12
"3","5",14,20,"4",7
"3","5",14,20,"4",7
"3","5",14,20,"4",7
"3","5",14,20,"4",7
"3","5",14,20,"4",11
"3","5",14,20,"4",7
"3","5",14,20,"4",11
"3","5",14,20,"4",13
"3","5",14,20,"4",12
"3","5",14,20,"3",7
"3","5",14,20,"3",6
"3","5",14,20,"3",8
"3","5",14,20,"3",11
"3","5",14,20,"3",10
"3","5",14,20,"3",8
"3","5",14,20,"3",11
"3","5",14,20,"3",12
"3","5",14,20,"3",14
"3","5",14,20,"3",12
"3","5",14,20,"2",15
"3","5",14,20,"2",12
"3","5",14,20,"2",13
"3","5",14,20,"2",6
"3","5",14,20,"2",8
"3","5",14,20,"2",11
"3","5",14,20,"2",7
"3","5",14,20,"2",13
"3","5",14,20,"2",10
"3","5",14,20,"2",10
"4","5",14,20,"3",16
"4","5",14,20,"3",12
"4","5",14,20,"3",12
"4","5",14,20,"3",9
"4","5",14,20,"3",6
"4","5",14,20,"3",8
"4","5",14,20,"3",8
"4","5",14,20,"3",9
"4","5",14,20,"3",7
"4","5",14,20,"3",7
"4","5",14,20,"2",7
"4","5",14,20,"2",12
"4","5",14,20,"2",6
"4","5",14,20,"2",8
"4","5",14,20,"2",9
"4","5",14,20,"2",9
"4","5",14,20,"2",10
"4","5",14,20,"2",10
"4","5",14,20,"2",7
"4","5",14,20,"2",7
"4","5",14,20,"4",7
"4","5",14,20,"4",11
"4","5",14,20,"4",7
"4","5",14,20,"4",10
"4","5",14,20,"4",7
"4","5",14,20,"4",10
"4","5",14,20,"4",19
"4","5",14,20,"4",6
"4","5",14,20,"4",7
"4","5",14,20,"4",10
"2","5",14,20,"1",11
"2","5",14,20,"1",6
"2","5",14,20,"1",11
"2","5",14,20,"1",5
"2","5",14,20,"1",13
"2","5",14,20,"1",10
"2","5",14,20,"1",7
"2","5",14,20,"1",7
"2","5",14,20,"1",8
"2","5",14,20,"1",12
"1","5",14,20,"1",10
"1","5",14,20,"1",11
"1","5",14,20,"1",11
"1","5",14,20,"1",9
"1","5",14,20,"1",9
"1","5",14,20,"1",12
"1","5",14,20,"1",11
"1","5",14,20,"1",6
"1","5",14,20,"1",8
"1","5",14,20,"1",8
"1","4",20,20,"1",12
"1","4",20,20,"1",7
"1","4",20,20,"1",14
"1","4",20,20,"1",15
"1","4",20,20,"1",6
"1","4",20,20,"1",7
"1","4",20,20,"1",5
"1","4",20,20,"1",12
"1","4",20,20,"1",9
"1","4",20,20,"1",11
"2","4",20,20,"1",6
"2","4",20,20,"1",6
"2","4",20,20,"1",8
"2","4",20,20,"1",6
"2","4",20,20,"1",8
"2","4",20,20,"1",6
"2","4",20,20,"1",11
"2","4",20,20,"1",6
"2","4",20,20,"1",8
"2","4",20,20,"1",9
"3","4",20,20,"1",10
"3","4",20,20,"1",8
"3","4",20,20,"1",5
"3","4",20,20,"1",5
"3","4",20,20,"1",11
"3","4",20,20,"1",9
"3","4",20,20,"1",10
"3","4",20,20,"1",8
"3","4",20,20,"1",9
"3","4",20,20,"1",8
"4","4",20,20,"1",7
"4","4",20,20,"1",9
"4","4",20,20,"1",8
"4","4",20,20,"1",8
"4","4",20,20,"1",6
"4","4",20,20,"1",7
"4","4",20,20,"1",8
"4","4",20,20,"1",12
"4","4",20,20,"1",6
"4","4",20,20,"1",7
"3","4",20,20,"3",5
"3","4",20,20,"3",8
"3","4",20,20,"3",8
"3","4",20,20,"3",7
"3","4",20,20,"3",10
"3","4",20,20,"3",9
"3","4",20,20,"3",6
"3","4",20,20,"3",11
"3","4",20,20,"3",11
"3","4",20,20,"3",10
"3","4",20,20,"2",10
"3","4",20,20,"2",9
"3","4",20,20,"2",6
"3","4",20,20,"2",10
"3","4",20,20,"2",13
"3","4",20,20,"2",12
"3","4",20,20,"2",13
"3","4",20,20,"2",7
"3","4",20,20,"2",10
"3","4",20,20,"2",10
"4","4",20,20,"4",10
"4","4",20,20,"4",5
"4","4",20,20,"4",9
"4","4",20,20,"4",9
"4","4",20,20,"4",7
"4","4",20,20,"4",10
"4","4",20,20,"4",6
"4","4",20,20,"4",5
"4","4",20,20,"4",8
"4","4",20,20,"4",11
"4","4",20,20,"3",9
"4","4",20,20,"3",7
"4","4",20,20,"3",8
"4","4",20,20,"3",13
"4","4",20,20,"3",8
"4","4",20,20,"3",11
"4","4",20,20,"3",7
"4","4",20,20,"3",7
"4","4",20,20,"3",9
"4","4",20,20,"3",11
"4","4",20,20,"2",8
"4","4",20,20,"2",6
"4","4",20,20,"2",8
"4","4",20,20,"2",17
"4","4",20,20,"2",7
"4","4",20,20,"2",11
"4","4",20,20,"2",6
"4","4",20,20,"2",10
"4","4",20,20,"2",10
"4","4",20,20,"2",11
"3","4",20,20,"4",6
"3","4",20,20,"4",8
"3","4",20,20,"4",9
"3","4",20,20,"4",7
"3","4",20,20,"4",7
"3","4",20,20,"4",5
"3","4",20,20,"4",10
"3","4",20,20,"4",8
"3","4",20,20,"4",7
"3","4",20,20,"4",7
"1","4",20,20,"3",13
"1","4",20,20,"3",6
"1","4",20,20,"3",7
"1","4",20,20,"3",6
"1","4",20,20,"3",6
"1","4",20,20,"3",6
"1","4",20,20,"3",11
"1","4",20,20,"3",8
"1","4",20,20,"3",12
"1","4",20,20,"3",8
"1","4",20,20,"2",9
"1","4",20,20,"2",9
"1","4",20,20,"2",7
"1","4",20,20,"2",10
"1","4",20,20,"2",7
"1","4",20,20,"2",7
"1","4",20,20,"2",6
"1","4",20,20,"2",6
"1","4",20,20,"2",6
"1","4",20,20,"2",8
"2","4",20,20,"3",5
"2","4",20,20,"3",12
"2","4",20,20,"3",7
"2","4",20,20,"3",6
"2","4",20,20,"3",6
"2","4",20,20,"3",5
"2","4",20,20,"3",6
"2","4",20,20,"3",6
"2","4",20,20,"3",5
"2","4",20,20,"3",6
"2","4",20,20,"4",6
"2","4",20,20,"4",10
"2","4",20,20,"4",8
"2","4",20,20,"4",8
"2","4",20,20,"4",6
"2","4",20,20,"4",7
"2","4",20,20,"4",8
"2","4",20,20,"4",6
"2","4",20,20,"4",7
"2","4",20,20,"4",8
"2","4",20,20,"2",7
"2","4",20,20,"2",8
"2","4",20,20,"2",4
"2","4",20,20,"2",8
"2","4",20,20,"2",7
"2","4",20,20,"2",10
"2","4",20,20,"2",10
"2","4",20,20,"2",5
"2","4",20,20,"2",10
"2","4",20,20,"2",6
"1","4",20,20,"4",8
"1","4",20,20,"4",9
"1","4",20,20,"4",9
"1","4",20,20,"4",10
"1","4",20,20,"4",10
"1","4",20,20,"4",7
"1","4",20,20,"4",9
"1","4",20,20,"4",8
"1","4",20,20,"4",7
"1","4",20,20,"4",14
"3","4",20,20,"2",7
"3","4",20,20,"2",6
"3","4",20,20,"2",5
"3","4",20,20,"2",16
"3","4",20,20,"2",9
"3","4",20,20,"2",7
"3","4",20,20,"2",6
"3","4",20,20,"2",5
"3","4",20,20,"2",10
"3","4",20,20,"2",8
"3","4",20,20,"3",9
"3","4",20,20,"3",9
"3","4",20,20,"3",9
"3","4",20,20,"3",7
"3","4",20,20,"3",9
"3","4",20,20,"3",8
"3","4",20,20,"3",9
"3","4",20,20,"3",5
"3","4",20,20,"3",10
"3","4",20,20,"3",5
"4","4",20,20,"4",8
"4","4",20,20,"4",9
"4","4",20,20,"4",6
"4","4",20,20,"4",9
"4","4",20,20,"4",10
"4","4",20,20,"4",6
"4","4",20,20,"4",8
"4","4",20,20,"4",10
"4","4",20,20,"4",7
"4","4",20,20,"4",8
"3","4",20,20,"4",8
"3","4",20,20,"4",7
"3","4",20,20,"4",5
"3","4",20,20,"4",7
"3","4",20,20,"4",5
"3","4",20,20,"4",6
"3","4",20,20,"4",7
"3","4",20,20,"4",10
"3","4",20,20,"4",9
"3","4",20,20,"4",7
"4","4",20,20,"3",9
"4","4",20,20,"3",4
"4","4",20,20,"3",12
"4","4",20,20,"3",7
"4","4",20,20,"3",8
"4","4",20,20,"3",6
"4","4",20,20,"3",7
"4","4",20,20,"3",13
"4","4",20,20,"3",5
"4","4",20,20,"3",9
"4","4",20,20,"2",6
"4","4",20,20,"2",8
"4","4",20,20,"2",8
"4","4",20,20,"2",7
"4","4",20,20,"2",8
"4","4",20,20,"2",7
"4","4",20,20,"2",8
"4","4",20,20,"2",12
"4","4",20,20,"2",8
"4","4",20,20,"2",10
"2","4",20,20,"1",8
"2","4",20,20,"1",6
"2","4",20,20,"1",6
"2","4",20,20,"1",8
"2","4",20,20,"1",6
"2","4",20,20,"1",13
"2","4",20,20,"1",7
"2","4",20,20,"1",10
"2","4",20,20,"1",6
"2","4",20,20,"1",6
"1","4",20,20,"1",10
"1","4",20,20,"1",10
"1","4",20,20,"1",9
"1","4",20,20,"1",6
"1","4",20,20,"1",8
"1","4",20,20,"1",7
"1","4",20,20,"1",5
"1","4",20,20,"1",9
"1","4",20,20,"1",10
"1","4",20,20,"1",9
"4","4",20,20,"1",7
"4","4",20,20,"1",10
"4","4",20,20,"1",9
"4","4",20,20,"1",4
"4","4",20,20,"1",7
"4","4",20,20,"1",9
"4","4",20,20,"1",9
"4","4",20,20,"1",6
"4","4",20,20,"1",5
"4","4",20,20,"1",7
"3","4",20,20,"1",7
"3","4",20,20,"1",6
"3","4",20,20,"1",7
"3","4",20,20,"1",8
"3","4",20,20,"1",8
"3","4",20,20,"1",9
"3","4",20,20,"1",9
"3","4",20,20,"1",9
"3","4",20,20,"1",4
"3","4",20,20,"1",12
"1","4",20,20,"4",11
"1","4",20,20,"4",7
"1","4",20,20,"4",9
"1","4",20,20,"4",11
"1","4",20,20,"4",6
"1","4",20,20,"4",8
"1","4",20,20,"4",8
"1","4",20,20,"4",9
"1","4",20,20,"4",8
"1","4",20,20,"4",10
"2","4",20,20,"3",8
"2","4",20,20,"3",7
"2","4",20,20,"3",7
"2","4",20,20,"3",7
"2","4",20,20,"3",6
"2","4",20,20,"3",7
"2","4",20,20,"3",6
"2","4",20,20,"3",6
"2","4",20,20,"3",8
"2","4",20,20,"3",7
"1","4",20,20,"2",7
"1","4",20,20,"2",10
"1","4",20,20,"2",10
"1","4",20,20,"2",9
"1","4",20,20,"2",9
"1","4",20,20,"2",7
"1","4",20,20,"2",8
"1","4",20,20,"2",9
"1","4",20,20,"2",10
"1","4",20,20,"2",6
"1","4",20,20,"3",9
"1","4",20,20,"3",6
"1","4",20,20,"3",9
"1","4",20,20,"3",7
"1","4",20,20,"3",5
"1","4",20,20,"3",9
"1","4",20,20,"3",14
"1","4",20,20,"3",8
"1","4",20,20,"3",8
"1","4",20,20,"3",8
"2","4",20,20,"2",8
"2","4",20,20,"2",6
"2","4",20,20,"2",7
"2","4",20,20,"2",8
"2","4",20,20,"2",5
"2","4",20,20,"2",8
"2","4",20,20,"2",6
"2","4",20,20,"2",7
"2","4",20,20,"2",8
"2","4",20,20,"2",7
"2","4",20,20,"4",7
"2","4",20,20,"4",6
"2","4",20,20,"4",10
"2","4",20,20,"4",8
"2","4",20,20,"4",6
"2","4",20,20,"4",7
"2","4",20,20,"4",10
"2","4",20,20,"4",11
